AIMed_d30@1	Isolation of human PROTEINT1 and its binding specificity with PROTEINT2
AIMed_d195@3	The activity of NMDA N-methyl-D-aspartate receptor be mechanosensitive and dependent on the integrity of PROTEINT0 suggest a functionally important interaction between NMDA receptor and the postsynaptic cytoskeleton PROTEINT0 a member of the PROTEINT0 family of PROTEINT0 bind protein be identify here as a brain postsynaptic density protein that colocalize in dendritic spine with NMDA receptor and the putative NMDA receptor-clustering molecule PROTEINT0 PROTEINT1 bind by its central rod domain to the cytoplasmic tail of both PROTEINT0 and PROTEINT0 subunit of the PROTEINT2 and can be immunoprecipitate with NMDA receptor and PROTEINT0 from rat brain
AIMed_d195@3	The activity of NMDA N-methyl-D-aspartate receptor be mechanosensitive and dependent on the integrity of PROTEINT0 suggest a functionally important interaction between NMDA receptor and the postsynaptic cytoskeleton PROTEINT0 a member of the PROTEINT0 family of PROTEINT0 bind protein be identify here as a brain postsynaptic density protein that colocalize in dendritic spine with NMDA receptor and the putative NMDA receptor-clustering molecule PROTEINT0 PROTEINT1 bind by its central rod domain to the cytoplasmic tail of both PROTEINT0 and PROTEINT0 subunit of the PROTEINT0 and can be immunoprecipitate with NMDA receptor and PROTEINT2 from rat brain
AIMed_d144@1	The PROTEINT1 associate with the PROTEINT2 catalytic subunit
AIMed_d144@5	In vitro-binding assay demonstrate that PROTEINT1 isoform preferentially bind the hypophosphorylate form of PROTEINT2
AIMed_d144@6	Moreover similar PROTEINT1 sequence be require for binding PROTEINT2 and PROTEINT0
AIMed_d144@6	Moreover similar PROTEINT1 sequence be require for binding PROTEINT0 and PROTEINT2
AIMed_d221@1	A region of the beta subunit of the PROTEINT0 PROTEINT1 different from box 1 interact with PROTEINT2 and be sufficient to activate the PROTEINT0 Stat pathway and induce an antiviral state
AIMed_d45@2	A mutant form of human PROTEINT0 PROTEINT1 PROTEINT0 SC1 that bind one PROTEINT0 PROTEINT2 PROTEINT0 receptor alpha chain PROTEINT0 PROTEINT0 have be design and characterize
AIMed_d45@2	A mutant form of human PROTEINT0 PROTEINT1 PROTEINT0 SC1 that bind one PROTEINT0 PROTEINT0 PROTEINT0 receptor alpha chain PROTEINT0 PROTEINT2 have be design and characterize
AIMed_d45@4	Isothermal titration calorimetry show that PROTEINT0 PROTEINT1 form a 1:1 complex with its high-affinity receptor PROTEINT0 PROTEINT2 with an affinity of 27 9 nM
AIMed_d45@8	The AB loop of PROTEINT0 adopt conformation similar to the order loop of PROTEINT0 observe in the crystal structure of the PROTEINT1 PROTEINT2 PROTEINT0 R alpha complex
AIMed_d45@11	Despite bind to only one PROTEINT1 PROTEINT0 R alpha PROTEINT2 be biologically active in cell proliferation MHC class I induction and anti-viral assay
AIMed_d45@12	This suggest that one domain of PROTEINT1 be sufficient to recruit PROTEINT2 PROTEINT0 R alpha and PROTEINT0 PROTEINT0 into a complex competent for elicit biological activity
AIMed_d45@12	This suggest that one domain of PROTEINT1 be sufficient to recruit PROTEINT0 PROTEINT0 R alpha and PROTEINT0 PROTEINT2 into a complex competent for elicit biological activity
AIMed_d136@4	Monoclonal antibody to the beta chain of the PROTEINT0 receptor inhibit the biological activity of PROTEINT0 and PROTEINT0 compete for binding with PROTEINT0 indicate that PROTEINT1 use component of the PROTEINT0 PROTEINT2
AIMed_d94@5	When Ca2 i change be monitor in stably transfecte human embryonic kidney 293 cell PROTEINT1 PROTEINT0 and PROTEINT0 be both potent agonist for PROTEINT2 and PROTEINT0
AIMed_d94@5	When Ca2 i change be monitor in stably transfecte human embryonic kidney 293 cell PROTEINT1 PROTEINT0 and PROTEINT0 be both potent agonist for PROTEINT0 and PROTEINT2
AIMed_d94@5	When Ca2 i change be monitor in stably transfecte human embryonic kidney 293 cell PROTEINT0 PROTEINT0 and PROTEINT1 be both potent agonist for PROTEINT2 and PROTEINT0
AIMed_d94@5	When Ca2 i change be monitor in stably transfecte human embryonic kidney 293 cell PROTEINT0 PROTEINT0 and PROTEINT1 be both potent agonist for PROTEINT0 and PROTEINT2
AIMed_d94@6	However PROTEINT1 be also an agonist for PROTEINT2 but not PROTEINT0 PROTEINT0 be an agonist for PROTEINT0 but not PROTEINT0
AIMed_d94@6	However PROTEINT0 be also an agonist for PROTEINT0 but not PROTEINT0 PROTEINT1 be an agonist for PROTEINT2 but not PROTEINT0
AIMed_d39@1	PROTEINT1 suppress the function of PROTEINT0 homodimer via interaction with PROTEINT2 PROTEINT0
AIMed_d39@1	PROTEINT1 suppress the function of PROTEINT0 homodimer via interaction with PROTEINT0 PROTEINT2
AIMed_d39@3	Here we show that PROTEINT1 PROTEINT0 a negative regulator of PROTEINT2 be a candidate to mediate the function of PROTEINT0 in the cell
AIMed_d39@3	Here we show that PROTEINT0 PROTEINT1 a negative regulator of PROTEINT2 be a candidate to mediate the function of PROTEINT0 in the cell
AIMed_d39@4	We screen for protein that bind to PROTEINT1 from a human embryonic brain cDNA library use the two-hybrid method and isolate one clone encode the PROTEINT2 PROTEINT0 gene
AIMed_d39@4	We screen for protein that bind to PROTEINT1 from a human embryonic brain cDNA library use the two-hybrid method and isolate one clone encode the PROTEINT0 PROTEINT2 gene
AIMed_d39@5	The binding of PROTEINT1 PROTEINT0 to full-length PROTEINT2 be confirm in vitro by pull-down assay and in vivo by immunoprecipitation assay with human sample include AD brain
AIMed_d39@5	The binding of PROTEINT0 PROTEINT1 to full-length PROTEINT2 be confirm in vitro by pull-down assay and in vivo by immunoprecipitation assay with human sample include AD brain
AIMed_d39@7	Chloramphenicol acetyltransferase assay in F9 cell show that PROTEINT0 suppress transactivation by PROTEINT1 PROTEINT2 but not by PROTEINT0 PROTEINT0 heterodimer consistent with the report function of PROTEINT0 PROTEINT0
AIMed_d39@7	Chloramphenicol acetyltransferase assay in F9 cell show that PROTEINT0 suppress transactivation by PROTEINT0 PROTEINT0 but not by PROTEINT1 PROTEINT2 heterodimer consistent with the report function of PROTEINT0 PROTEINT0
AIMed_d42@9	Use antibody-mediated immunofluorescence copatching of epitope-tagged receptor we provide evidence in live cell for preexist heteromeric PROTEINT1 PROTEINT2 and PROTEINT0 PROTEINT0 and homomeric PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 and also PROTEINT0 PROTEINT0 oligomer in the absence of ligand
AIMed_d42@9	Use antibody-mediated immunofluorescence copatching of epitope-tagged receptor we provide evidence in live cell for preexist heteromeric PROTEINT0 PROTEINT0 and PROTEINT1 PROTEINT2 and homomeric PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 and also PROTEINT0 PROTEINT0 oligomer in the absence of ligand
AIMed_d42@9	Use antibody-mediated immunofluorescence copatching of epitope-tagged receptor we provide evidence in live cell for preexist heteromeric PROTEINT0 PROTEINT0 and PROTEINT0 PROTEINT0 and homomeric PROTEINT1 PROTEINT2 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 and also PROTEINT0 PROTEINT0 oligomer in the absence of ligand
AIMed_d42@9	Use antibody-mediated immunofluorescence copatching of epitope-tagged receptor we provide evidence in live cell for preexist heteromeric PROTEINT0 PROTEINT0 and PROTEINT0 PROTEINT0 and homomeric PROTEINT0 PROTEINT0 PROTEINT1 PROTEINT2 PROTEINT0 PROTEINT0 and also PROTEINT0 PROTEINT0 oligomer in the absence of ligand
AIMed_d42@9	Use antibody-mediated immunofluorescence copatching of epitope-tagged receptor we provide evidence in live cell for preexist heteromeric PROTEINT0 PROTEINT0 and PROTEINT0 PROTEINT0 and homomeric PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT1 PROTEINT2 and also PROTEINT0 PROTEINT0 oligomer in the absence of ligand
AIMed_d42@9	Use antibody-mediated immunofluorescence copatching of epitope-tagged receptor we provide evidence in live cell for preexist heteromeric PROTEINT0 PROTEINT0 and PROTEINT0 PROTEINT0 and homomeric PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 and also PROTEINT1 PROTEINT2 oligomer in the absence of ligand
AIMed_d42@10	PROTEINT1 binding significantly increase hetero and homo-oligomerization except for the PROTEINT2 homo-oligomer which bind ligand poorly in the absence of PROTEINT0
AIMed_d42@10	PROTEINT0 binding significantly increase hetero and homo-oligomerization except for the PROTEINT1 homo-oligomer which bind ligand poorly in the absence of PROTEINT2
AIMed_d131@2	cDNA clone encode a human PROTEINT1 PROTEINT0 from a Burkitt lymphoma cell line BJAB express a 90 to 110 kDa polypeptide in COS7 cell that bind PROTEINT2 specifically
AIMed_d131@2	cDNA clone encode a human PROTEINT0 PROTEINT1 from a Burkitt lymphoma cell line BJAB express a 90 to 110 kDa polypeptide in COS7 cell that bind PROTEINT2 specifically
AIMed_d131@3	The predict amino acid sequence of PROTEINT0 be 60 identical and 73 similar to mouse PROTEINT0 PROTEINT0 PROTEINT1 express in an PROTEINT0 dependent mouse pro-B cell line Ba/F3 bind PROTEINT2 with high affinity 200 to 250 pM and the transfecte cell exhibit a proliferative response to PROTEINT0
AIMed_d178@3	In vitro and in nonproliferating cell PROTEINT1 associate with and inhibit cyclin/cycin-dependent kinase CDK holoenzyme contain either PROTEINT2 PROTEINT0 or PROTEINT0
AIMed_d178@3	In vitro and in nonproliferating cell PROTEINT1 associate with and inhibit cyclin/cycin-dependent kinase CDK holoenzyme contain either PROTEINT0 PROTEINT2 or PROTEINT0
AIMed_d178@3	In vitro and in nonproliferating cell PROTEINT1 associate with and inhibit cyclin/cycin-dependent kinase CDK holoenzyme contain either PROTEINT0 PROTEINT0 or PROTEINT2
AIMed_d178@6	In addition PROTEINT1 associate with three different CDK PROTEINT2 PROTEINT0 and PROTEINT0
AIMed_d178@6	In addition PROTEINT1 associate with three different CDK PROTEINT0 PROTEINT2 and PROTEINT0
AIMed_d178@6	In addition PROTEINT1 associate with three different CDK PROTEINT0 PROTEINT0 and PROTEINT2
AIMed_d178@8	The amount of PROTEINT1 and PROTEINT0 associate with PROTEINT2 do not change in a cell cycle-dependent fashion in contrast the amount of PROTEINT0 associate with PROTEINT0 be low in early G1 cell and increase to a maximum in mid-G1 phase reach a steady-state level in late G1-phase cell
AIMed_d178@8	The amount of PROTEINT0 and PROTEINT1 associate with PROTEINT2 do not change in a cell cycle-dependent fashion in contrast the amount of PROTEINT0 associate with PROTEINT0 be low in early G1 cell and increase to a maximum in mid-G1 phase reach a steady-state level in late G1-phase cell
AIMed_d178@8	The amount of PROTEINT0 and PROTEINT0 associate with PROTEINT0 do not change in a cell cycle-dependent fashion in contrast the amount of PROTEINT1 associate with PROTEINT2 be low in early G1 cell and increase to a maximum in mid-G1 phase reach a steady-state level in late G1-phase cell
AIMed_d178@12	In contrast PROTEINT1 complex contain PROTEINT2 be incapable of phosphorylate PROTEINT0
AIMed_d77@5	We show that the carboxy terminal tail of PROTEINT1 associate directly with the amino terminal head of type II epidermal keratin include PROTEINT2 PROTEINT0 PROTEINT0 and PROTEINT0
AIMed_d77@5	We show that the carboxy terminal tail of PROTEINT1 associate directly with the amino terminal head of type II epidermal keratin include PROTEINT0 PROTEINT2 PROTEINT0 and PROTEINT0
AIMed_d77@5	We show that the carboxy terminal tail of PROTEINT1 associate directly with the amino terminal head of type II epidermal keratin include PROTEINT0 PROTEINT0 PROTEINT2 and PROTEINT0
AIMed_d77@5	We show that the carboxy terminal tail of PROTEINT1 associate directly with the amino terminal head of type II epidermal keratin include PROTEINT0 PROTEINT0 PROTEINT0 and PROTEINT2
AIMed_d77@6	We have engineer and purify recombinant PROTEINT1 head and PROTEINT2 tail and we demonstrate direct interaction in vitro by solution-binding assay and by ligand blot assay
AIMed_d77@8	We have identify an 18-amino acid residue stretch in the PROTEINT1 head that be conserve only among type II epidermal keratin and that appear to play some role in PROTEINT2 tail binding
AIMed_d213@9	We show that the physical interaction between PROTEINT1 and PROTEINT2 a coactivator for PROTEINT0 be not sufficient for repression of PROTEINT0 mediate transcription
AIMed_d213@9	We show that the physical interaction between PROTEINT0 and PROTEINT1 a coactivator for PROTEINT2 be not sufficient for repression of PROTEINT0 mediate transcription
AIMed_d103@1	Cloning and characterization of PROTEINT1 PROTEINT2 and PROTEINT0 three subunit of the human transcription factor PROTEINT0
AIMed_d103@1	Cloning and characterization of PROTEINT1 PROTEINT0 and PROTEINT2 three subunit of the human transcription factor PROTEINT0
AIMed_d103@1	Cloning and characterization of PROTEINT0 PROTEINT1 and PROTEINT2 three subunit of the human transcription factor PROTEINT0
AIMed_d103@5	We show that PROTEINT1 interact with PROTEINT2 both in vitro and intracellularly in contrast to its Drosophila homologue PROTEINT0 also interact directly with PROTEINT0
AIMed_d103@5	We show that PROTEINT0 interact with PROTEINT0 both in vitro and intracellularly in contrast to its Drosophila homologue PROTEINT1 also interact directly with PROTEINT2
AIMed_d103@6	Deletion analysis indicate that PROTEINT1 and PROTEINT0 bind to distinct domain of PROTEINT2 PROTEINT0 also interact with PROTEINT0 but it interact more strongly with PROTEINT0 and PROTEINT0
AIMed_d103@6	Deletion analysis indicate that PROTEINT0 and PROTEINT1 bind to distinct domain of PROTEINT2 PROTEINT0 also interact with PROTEINT0 but it interact more strongly with PROTEINT0 and PROTEINT0
AIMed_d103@6	Deletion analysis indicate that PROTEINT0 and PROTEINT0 bind to distinct domain of PROTEINT0 PROTEINT1 also interact with PROTEINT2 but it interact more strongly with PROTEINT0 and PROTEINT0
AIMed_d103@6	Deletion analysis indicate that PROTEINT0 and PROTEINT0 bind to distinct domain of PROTEINT0 PROTEINT1 also interact with PROTEINT0 but it interact more strongly with PROTEINT2 and PROTEINT0
AIMed_d103@6	Deletion analysis indicate that PROTEINT0 and PROTEINT0 bind to distinct domain of PROTEINT0 PROTEINT1 also interact with PROTEINT0 but it interact more strongly with PROTEINT0 and PROTEINT2
AIMed_d103@7	The binding of PROTEINT1 and PROTEINT0 require distinct domain of PROTEINT2
AIMed_d103@7	The binding of PROTEINT0 and PROTEINT1 require distinct domain of PROTEINT2
AIMed_d103@8	As observe with the homologous Drosophila protein PROTEINT1 interact directly with PROTEINT2 however additional interaction between PROTEINT0 and PROTEINT0 or PROTEINT0 be detect
AIMed_d103@8	As observe with the homologous Drosophila protein PROTEINT0 interact directly with PROTEINT0 however additional interaction between PROTEINT1 and PROTEINT2 or PROTEINT0 be detect
AIMed_d103@8	As observe with the homologous Drosophila protein PROTEINT0 interact directly with PROTEINT0 however additional interaction between PROTEINT1 and PROTEINT0 or PROTEINT2 be detect
AIMed_d70@5	A bacterially express 318-amino acid fragment PROTEINT1 418-736 contain the amphipathic helix region be able to bind PROTEINT0 PROTEINT2
AIMed_d214@1	Proto-oncoprotein PROTEINT1 interact with PROTEINT2 in activate thymocyte and peripheral T cell
AIMed_d214@2	The molecular adapter PROTEINT1 be rapidly tyrosine phosphorylated follow stimulation through the PROTEINT0 and associate with PROTEINT0 homology domain-2 SH2 SH3 domain-containing adapter such as PROTEINT2 PROTEINT0 and PROTEINT0 which interact with guanine nucleotide exchange factor specific for the Ras family
AIMed_d214@2	The molecular adapter PROTEINT1 be rapidly tyrosine phosphorylated follow stimulation through the PROTEINT0 and associate with PROTEINT0 homology domain-2 SH2 SH3 domain-containing adapter such as PROTEINT0 PROTEINT2 and PROTEINT0 which interact with guanine nucleotide exchange factor specific for the Ras family
AIMed_d214@2	The molecular adapter PROTEINT1 be rapidly tyrosine phosphorylated follow stimulation through the PROTEINT0 and associate with PROTEINT0 homology domain-2 SH2 SH3 domain-containing adapter such as PROTEINT0 PROTEINT0 and PROTEINT2 which interact with guanine nucleotide exchange factor specific for the Ras family
AIMed_d214@5	Here we show that PROTEINT1 and PROTEINT2 form inducible molecular complex in PROTEINT0 activate murine thymocyte and peripheral T cell as well as pervanadate-treated T cell
AIMed_d214@6	PROTEINT1 PROTEINT2 interaction be also detectable in freshly isolate T cell from gene-targeted mouse that lack the T cell-specific inhibitory receptor PROTEINT0 in which PROTEINT0 be hyperphosphorylate on tyrosine residue
AIMed_d214@7	The interaction between PROTEINT1 and PROTEINT2 be directly mediate via the SH2 domain of PROTEINT0 and be dependent on tyrosine phosphorylation of PROTEINT0
AIMed_d214@8	In addition we show that the conserve motif Y699 MTP present in PROTEINT1 be the bind site for the PROTEINT2 SH2 domain in vitro
AIMed_d171@1	Crystal structure of the PROTEINT1 cyclin-dependent-kinase inhibitor bind to the PROTEINT2 PROTEINT0 complex
AIMed_d171@1	Crystal structure of the PROTEINT1 cyclin-dependent-kinase inhibitor bind to the PROTEINT0 PROTEINT2 complex
AIMed_d171@1	Crystal structure of the PROTEINT0 cyclin-dependent-kinase inhibitor bind to the PROTEINT1 PROTEINT2 complex
AIMed_d171@2	The crystal structure of the human PROTEINT1 inhibitory domain bind to the phosphorylate PROTEINT2 PROTEINT0 PROTEINT0 complex have be determine at 2.3 angstrom
AIMed_d171@2	The crystal structure of the human PROTEINT1 inhibitory domain bind to the phosphorylate PROTEINT0 PROTEINT0 PROTEINT2 complex have be determine at 2.3 angstrom
AIMed_d171@2	The crystal structure of the human PROTEINT0 inhibitory domain bind to the phosphorylate PROTEINT1 PROTEINT0 PROTEINT2 complex have be determine at 2.3 angstrom
AIMed_d171@3	PROTEINT1 bind the complex as an extend structure interact with both PROTEINT2 and PROTEINT0
AIMed_d171@3	PROTEINT1 bind the complex as an extend structure interact with both PROTEINT0 and PROTEINT2
AIMed_d176@1	Interaction of PROTEINT1 a mediator of PROTEINT0 assembly with heat shock protein PROTEINT2 and PROTEINT0
AIMed_d176@1	Interaction of PROTEINT1 a mediator of PROTEINT0 assembly with heat shock protein PROTEINT0 and PROTEINT2
AIMed_d176@6	Since PROTEINT1 be typically find in a complex with PROTEINT2 and PROTEINT0 we have further characterize its interaction with these protein
AIMed_d176@6	Since PROTEINT1 be typically find in a complex with PROTEINT0 and PROTEINT2 we have further characterize its interaction with these protein
AIMed_d176@7	PROTEINT1 can bind either PROTEINT2 or PROTEINT0 independently and in an ATP-independent manner
AIMed_d176@7	PROTEINT1 can bind either PROTEINT0 or PROTEINT2 independently and in an ATP-independent manner
AIMed_d176@8	Since PROTEINT0 and PROTEINT0 do not readily associate on their own it appear that PROTEINT0 be the central organize component of an PROTEINT1 PROTEINT2 PROTEINT0 complex
AIMed_d176@9	Mutational analysis of PROTEINT1 indicate that the N terminus be require for PROTEINT2 binding and a central region contain tetratricopeptide repeat motif be necessary for bind PROTEINT0 and PROTEINT0
AIMed_d176@9	Mutational analysis of PROTEINT1 indicate that the N terminus be require for PROTEINT0 binding and a central region contain tetratricopeptide repeat motif be necessary for bind PROTEINT2 and PROTEINT0
AIMed_d176@9	Mutational analysis of PROTEINT1 indicate that the N terminus be require for PROTEINT0 binding and a central region contain tetratricopeptide repeat motif be necessary for bind PROTEINT0 and PROTEINT2
AIMed_d176@10	The PROTEINT1 PROTEINT2 PROTEINT0 multichaperone complex be highly dynamic and do not appear to be affect by the PROTEINT0 bind drug geldanamycin
AIMed_d176@11	The interaction of PROTEINT1 and PROTEINT2 in intermediate PROTEINT0 complex be show to be distinct from their separate interaction in early PROTEINT0 complex PROTEINT0 or in mature PROTEINT0 complex hsp90
AIMed_d79@1	The PROTEINT1 protein bind to PROTEINT2 a zinc-finger protein that share an epitope with the adenovirus PROTEINT0 protein
AIMed_d167@1	The PROTEINT1 glucose transporter interact with PROTEINT2 and PROTEINT0
AIMed_d167@1	The PROTEINT1 glucose transporter interact with PROTEINT0 and PROTEINT2
AIMed_d167@5	Follow immunoprecipitation with an anticalnexin antiserum a cross-linker-independent association be observe between PROTEINT1 and PROTEINT2
AIMed_d167@6	In addition the anti-calnexin antiserum immunoprecipitate a UV-dependent cross-linking product consist of PROTEINT1 and a protein of approximately 60 kDa designate PROTEINT2 PROTEINT0 of 60 kDa
AIMed_d167@6	In addition the anti-calnexin antiserum immunoprecipitate a UV-dependent cross-linking product consist of PROTEINT1 and a protein of approximately 60 kDa designate PROTEINT0 PROTEINT2 of 60 kDa
AIMed_d167@7	Both the PROTEINT1 PROTEINT2 and the PROTEINT0 PROTEINT0 interaction be dependent on the presence of a correctly modify oligosaccharide group on PROTEINT0 a characteristic of many PROTEINT0 interaction
AIMed_d167@7	Both the PROTEINT0 PROTEINT0 and the PROTEINT1 PROTEINT2 interaction be dependent on the presence of a correctly modify oligosaccharide group on PROTEINT0 a characteristic of many PROTEINT0 interaction
AIMed_d167@9	PROTEINT1 the soluble homologue of PROTEINT0 be also show to interact with PROTEINT2 only when the protein bear a correctly modify oligosaccharide group
AIMed_d167@10	Thus our datum show that both PROTEINT1 and PROTEINT0 interact with PROTEINT2 in a glycosylation-dependent manner
AIMed_d167@10	Thus our datum show that both PROTEINT0 and PROTEINT1 interact with PROTEINT2 in a glycosylation-dependent manner
AIMed_d68@5	Association between PROTEINT1 and PROTEINT2 PROTEINT0 be detect in the HeLa cell
AIMed_d68@5	Association between PROTEINT1 and PROTEINT0 PROTEINT2 be detect in the HeLa cell
AIMed_d205@1	Thymocyte activation induce the association of PROTEINT1 and PROTEINT0 with PROTEINT2
AIMed_d205@1	Thymocyte activation induce the association of PROTEINT0 and PROTEINT1 with PROTEINT2
