AIMed_d30@1	NN IN JJ PROTEINT1 CC PRP$ NN NN IN PROTEINT2
AIMed_d195@3	DT NN IN NN NN NNS VBZ JJ CC JJ IN DT NN IN PROTEINT0 VBG DT RB JJ NN IN NN NNS CC DT JJ NN PROTEINT0 DT NN IN DT PROTEINT0 NN IN PROTEINT0 VBG NNS VBZ VBN RB IN DT NN JJ NN NN WDT VBZ IN JJ NNS IN NN NNS CC DT JJ NN JJ NN PROTEINT0 PROTEINT1 VBZ IN PRP$ JJ NN NN TO DT JJ NN IN CC PROTEINT0 CC PROTEINT0 NNS IN DT PROTEINT0 CC MD VB VBN IN NN NNS CC PROTEINT2 IN NN NN
AIMed_d144@1	DT PROTEINT1 VBZ IN DT PROTEINT2 JJ NN
AIMed_d144@5	IN JJ NNS VBD IN PROTEINT1 NNS RB VBP DT VBN NN IN PROTEINT2
AIMed_d144@6	RB JJ PROTEINT1 NNS VBP VBN IN NN PROTEINT2 CC PROTEINT0
AIMed_d144@6	RB JJ PROTEINT1 NNS VBP VBN IN NN PROTEINT0 CC PROTEINT2
AIMed_d221@1	DT NN IN DT NN NN IN DT PROTEINT0 PROTEINT1 JJ IN NN CD VBZ IN PROTEINT2 CC VBZ JJ TO VB DT PROTEINT0 NN NN CC VB DT JJ NN
AIMed_d45@2	DT JJ NN IN JJ PROTEINT0 PROTEINT1 PROTEINT0 NN WDT VBZ CD PROTEINT0 PROTEINT2 PROTEINT0 NN NN NN PROTEINT0 PROTEINT0 VBZ VBN VBN CC VBN
AIMed_d45@2	DT JJ NN IN JJ PROTEINT0 PROTEINT1 PROTEINT0 NN WDT VBZ CD PROTEINT0 PROTEINT0 PROTEINT0 NN NN NN PROTEINT0 PROTEINT2 VBZ VBN VBN CC VBN
AIMed_d45@4	JJ NN NN VBZ IN PROTEINT0 PROTEINT1 VBZ DT CD NN IN PRP$ JJ NN PROTEINT0 PROTEINT2 IN DT NN IN CD CD NN
AIMed_d45@8	DT NN NNS IN PROTEINT0 JJ NNS JJ TO DT VBN NNS IN PROTEINT0 VBN IN DT JJ NN IN DT PROTEINT1 PROTEINT2 PROTEINT0 NN NN NN
AIMed_d45@11	IN VBG TO RB CD PROTEINT1 PROTEINT0 NN NN PROTEINT2 VBZ RB JJ IN NN NN NN NN CD NN CC JJ NNS
AIMed_d45@12	DT VBZ IN CD NN IN PROTEINT1 VBZ JJ TO VB PROTEINT2 PROTEINT0 NN NN CC PROTEINT0 PROTEINT0 IN DT NN JJ IN VBG JJ NN
AIMed_d45@12	DT VBZ IN CD NN IN PROTEINT1 VBZ JJ TO VB PROTEINT0 PROTEINT0 NN NN CC PROTEINT0 PROTEINT2 IN DT NN JJ IN VBG JJ NN
AIMed_d136@4	JJ NNS TO DT NN NN IN DT PROTEINT0 NN VBD DT JJ NN IN PROTEINT0 CC PROTEINT0 VBD IN NN IN PROTEINT0 VBG IN PROTEINT1 VBZ NNS IN DT PROTEINT0 PROTEINT2
AIMed_d94@5	WRB NN NN NNS VBD VBN IN RB VBN JJ JJ NN CD NNS PROTEINT1 PROTEINT0 CC PROTEINT0 VBD DT JJ NNS IN PROTEINT2 CC PROTEINT0
AIMed_d94@5	WRB NN NN NNS VBD VBN IN RB VBN JJ JJ NN CD NNS PROTEINT1 PROTEINT0 CC PROTEINT0 VBD DT JJ NNS IN PROTEINT0 CC PROTEINT2
AIMed_d94@5	WRB NN NN NNS VBD VBN IN RB VBN JJ JJ NN CD NNS PROTEINT0 PROTEINT0 CC PROTEINT1 VBD DT JJ NNS IN PROTEINT2 CC PROTEINT0
AIMed_d94@5	WRB NN NN NNS VBD VBN IN RB VBN JJ JJ NN CD NNS PROTEINT0 PROTEINT0 CC PROTEINT1 VBD DT JJ NNS IN PROTEINT0 CC PROTEINT2
AIMed_d94@6	RB PROTEINT1 VBD RB DT NN IN PROTEINT2 CC RB PROTEINT0 PROTEINT0 VBD DT NN IN PROTEINT0 CC RB PROTEINT0
AIMed_d94@6	RB PROTEINT0 VBD RB DT NN IN PROTEINT0 CC RB PROTEINT0 PROTEINT1 VBD DT NN IN PROTEINT2 CC RB PROTEINT0
AIMed_d39@1	PROTEINT1 VBZ DT NN IN PROTEINT0 NNS IN NN IN PROTEINT2 PROTEINT0
AIMed_d39@1	PROTEINT1 VBZ DT NN IN PROTEINT0 NNS IN NN IN PROTEINT0 PROTEINT2
AIMed_d39@3	RB PRP VBP IN PROTEINT1 PROTEINT0 DT JJ NN IN PROTEINT2 VBZ DT NN TO VB DT NN IN PROTEINT0 IN DT NN
AIMed_d39@3	RB PRP VBP IN PROTEINT0 PROTEINT1 DT JJ NN IN PROTEINT2 VBZ DT NN TO VB DT NN IN PROTEINT0 IN DT NN
AIMed_d39@4	PRP VBD IN NNS WDT VBP TO PROTEINT1 IN DT JJ JJ NN NN NN VBG DT JJ NN CC VBN CD NN VBG DT PROTEINT2 PROTEINT0 NN
AIMed_d39@4	PRP VBD IN NNS WDT VBP TO PROTEINT1 IN DT JJ JJ NN NN NN VBG DT JJ NN CC VBN CD NN VBG DT PROTEINT0 PROTEINT2 NN
AIMed_d39@5	DT NN IN PROTEINT1 PROTEINT0 TO JJ PROTEINT2 VBD VBN FW FW IN JJ NN CC FW FW IN NN NNS IN JJ NNS VBG NN NNS
AIMed_d39@5	DT NN IN PROTEINT0 PROTEINT1 TO JJ PROTEINT2 VBD VBN FW FW IN JJ NN CC FW FW IN NN NNS IN JJ NNS VBG NN NNS
AIMed_d39@7	NN NN NNS IN NN NNS VBD IN PROTEINT0 VBZ NN IN PROTEINT1 PROTEINT2 CC RB IN PROTEINT0 PROTEINT0 NNS JJ IN DT VBN NN IN PROTEINT0 PROTEINT0
AIMed_d39@7	NN NN NNS IN NN NNS VBD IN PROTEINT0 VBZ NN IN PROTEINT0 PROTEINT0 CC RB IN PROTEINT1 PROTEINT2 NNS JJ IN DT VBN NN IN PROTEINT0 PROTEINT0
AIMed_d42@9	VBG JJ NN NN IN JJ NNS PRP VBP NN IN JJ NNS IN VBG JJ PROTEINT1 PROTEINT2 CC PROTEINT0 PROTEINT0 CC JJ PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 CC RB PROTEINT0 PROTEINT0 NNS IN DT NN IN NN
AIMed_d42@9	VBG JJ NN NN IN JJ NNS PRP VBP NN IN JJ NNS IN VBG JJ PROTEINT0 PROTEINT0 CC PROTEINT1 PROTEINT2 CC JJ PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 CC RB PROTEINT0 PROTEINT0 NNS IN DT NN IN NN
AIMed_d42@9	VBG JJ NN NN IN JJ NNS PRP VBP NN IN JJ NNS IN VBG JJ PROTEINT0 PROTEINT0 CC PROTEINT0 PROTEINT0 CC JJ PROTEINT1 PROTEINT2 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 CC RB PROTEINT0 PROTEINT0 NNS IN DT NN IN NN
AIMed_d42@9	VBG JJ NN NN IN JJ NNS PRP VBP NN IN JJ NNS IN VBG JJ PROTEINT0 PROTEINT0 CC PROTEINT0 PROTEINT0 CC JJ PROTEINT0 PROTEINT0 PROTEINT1 PROTEINT2 PROTEINT0 PROTEINT0 CC RB PROTEINT0 PROTEINT0 NNS IN DT NN IN NN
AIMed_d42@9	VBG JJ NN NN IN JJ NNS PRP VBP NN IN JJ NNS IN VBG JJ PROTEINT0 PROTEINT0 CC PROTEINT0 PROTEINT0 CC JJ PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT1 PROTEINT2 CC RB PROTEINT0 PROTEINT0 NNS IN DT NN IN NN
AIMed_d42@9	VBG JJ NN NN IN JJ NNS PRP VBP NN IN JJ NNS IN VBG JJ PROTEINT0 PROTEINT0 CC PROTEINT0 PROTEINT0 CC JJ PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 CC RB PROTEINT1 PROTEINT2 NNS IN DT NN IN NN
AIMed_d42@10	PROTEINT1 NN RB VBD AFX CC NN IN IN DT PROTEINT2 NN WDT VBZ NN RB IN DT NN IN PROTEINT0
AIMed_d42@10	PROTEINT0 NN RB VBD AFX CC NN IN IN DT PROTEINT1 NN WDT VBZ NN RB IN DT NN IN PROTEINT2
AIMed_d131@2	NN NNS VBG DT JJ PROTEINT1 PROTEINT0 IN DT NN NN NN NN NN VBP DT CD TO CD NN NN IN NN NNS WDT VBZ PROTEINT2 RB
AIMed_d131@2	NN NNS VBG DT JJ PROTEINT0 PROTEINT1 IN DT NN NN NN NN NN VBP DT CD TO CD NN NN IN NN NNS WDT VBZ PROTEINT2 RB
AIMed_d131@3	DT VBN NN NN NN IN PROTEINT0 VBZ CD JJ CC CD JJ TO NN PROTEINT0 PROTEINT0 PROTEINT1 VBN IN DT PROTEINT0 JJ NN NN NN NN NN VBZ PROTEINT2 IN JJ NN CD TO CD NN CC DT VBN NNS VBP DT JJ NN TO PROTEINT0
AIMed_d178@3	FW FW CC IN JJ NNS PROTEINT1 VBZ IN CC VBZ JJ NN NN NNS VBG CC PROTEINT2 PROTEINT0 CC PROTEINT0
AIMed_d178@3	FW FW CC IN JJ NNS PROTEINT1 VBZ IN CC VBZ JJ NN NN NNS VBG CC PROTEINT0 PROTEINT2 CC PROTEINT0
AIMed_d178@3	FW FW CC IN JJ NNS PROTEINT1 VBZ IN CC VBZ JJ NN NN NNS VBG CC PROTEINT0 PROTEINT0 CC PROTEINT2
AIMed_d178@6	IN NN PROTEINT1 VBZ IN CD JJ NNS PROTEINT2 PROTEINT0 CC PROTEINT0
AIMed_d178@6	IN NN PROTEINT1 VBZ IN CD JJ NNS PROTEINT0 PROTEINT2 CC PROTEINT0
AIMed_d178@6	IN NN PROTEINT1 VBZ IN CD JJ NNS PROTEINT0 PROTEINT0 CC PROTEINT2
AIMed_d178@8	DT NN IN PROTEINT1 CC PROTEINT0 VBN IN PROTEINT2 VBZ RB VB IN DT NN JJ NN IN NN DT NN IN PROTEINT0 VBN IN PROTEINT0 VBZ JJS IN JJ NN NNS CC VBZ TO DT NN IN NN NN VBG DT JJ NN IN JJ NN NNS
AIMed_d178@8	DT NN IN PROTEINT0 CC PROTEINT1 VBN IN PROTEINT2 VBZ RB VB IN DT NN JJ NN IN NN DT NN IN PROTEINT0 VBN IN PROTEINT0 VBZ JJS IN JJ NN NNS CC VBZ TO DT NN IN NN NN VBG DT JJ NN IN JJ NN NNS
AIMed_d178@8	DT NN IN PROTEINT0 CC PROTEINT0 VBN IN PROTEINT0 VBZ RB VB IN DT NN JJ NN IN NN DT NN IN PROTEINT1 VBN IN PROTEINT2 VBZ JJS IN JJ NN NNS CC VBZ TO DT NN IN NN NN VBG DT JJ NN IN JJ NN NNS
AIMed_d178@12	IN NN PROTEINT1 NNS VBG PROTEINT2 VBP JJ IN VBG PROTEINT0
AIMed_d77@5	PRP VBP IN DT NN JJ NN IN PROTEINT1 VBZ RB IN DT NN JJ NN IN NN CD JJ NNS VBG PROTEINT2 PROTEINT0 PROTEINT0 CC PROTEINT0
AIMed_d77@5	PRP VBP IN DT NN JJ NN IN PROTEINT1 VBZ RB IN DT NN JJ NN IN NN CD JJ NNS VBG PROTEINT0 PROTEINT2 PROTEINT0 CC PROTEINT0
AIMed_d77@5	PRP VBP IN DT NN JJ NN IN PROTEINT1 VBZ RB IN DT NN JJ NN IN NN CD JJ NNS VBG PROTEINT0 PROTEINT0 PROTEINT2 CC PROTEINT0
AIMed_d77@5	PRP VBP IN DT NN JJ NN IN PROTEINT1 VBZ RB IN DT NN JJ NN IN NN CD JJ NNS VBG PROTEINT0 PROTEINT0 PROTEINT0 CC PROTEINT2
AIMed_d77@6	PRP VBP VBN CC VBN JJ PROTEINT1 NN CC PROTEINT2 NN CC PRP VBP JJ NN FW FW IN JJ NNS CC IN NN NN NNS
AIMed_d77@8	PRP VBP VBN DT JJ NN NN NN IN DT PROTEINT1 NN WDT VBZ VBN RB IN NN CD JJ NNS CC DT VBZ TO VB DT NN IN PROTEINT2 NN NN
AIMed_d213@9	PRP VBP IN DT JJ NN IN PROTEINT1 CC PROTEINT2 DT NN IN PROTEINT0 VBZ RB JJ IN NN IN PROTEINT0 VBN NN
AIMed_d213@9	PRP VBP IN DT JJ NN IN PROTEINT0 CC PROTEINT1 DT NN IN PROTEINT2 VBZ RB JJ IN NN IN PROTEINT0 VBN NN
AIMed_d103@1	NN CC NN IN PROTEINT1 PROTEINT2 CC PROTEINT0 CD NNS IN DT JJ NN NN PROTEINT0
AIMed_d103@1	NN CC NN IN PROTEINT1 PROTEINT0 CC PROTEINT2 CD NNS IN DT JJ NN NN PROTEINT0
AIMed_d103@1	NN CC NN IN PROTEINT0 PROTEINT1 CC PROTEINT2 CD NNS IN DT JJ NN NN PROTEINT0
AIMed_d103@5	PRP VBP IN PROTEINT1 VBZ IN PROTEINT2 CC FW FW CC RB IN NN TO PRP$ NNP NN PROTEINT0 RB VBZ RB IN PROTEINT0
AIMed_d103@5	PRP VBP IN PROTEINT0 VBZ IN PROTEINT0 CC FW FW CC RB IN NN TO PRP$ NNP NN PROTEINT1 RB VBZ RB IN PROTEINT2
AIMed_d103@6	NN NN VBZ IN PROTEINT1 CC PROTEINT0 VBP TO JJ NNS IN PROTEINT2 PROTEINT0 RB VBZ IN PROTEINT0 CC PRP VBZ RBR RB IN PROTEINT0 CC PROTEINT0
AIMed_d103@6	NN NN VBZ IN PROTEINT0 CC PROTEINT1 VBP TO JJ NNS IN PROTEINT2 PROTEINT0 RB VBZ IN PROTEINT0 CC PRP VBZ RBR RB IN PROTEINT0 CC PROTEINT0
AIMed_d103@6	NN NN VBZ IN PROTEINT0 CC PROTEINT0 VBP TO JJ NNS IN PROTEINT0 PROTEINT1 RB VBZ IN PROTEINT2 CC PRP VBZ RBR RB IN PROTEINT0 CC PROTEINT0
AIMed_d103@6	NN NN VBZ IN PROTEINT0 CC PROTEINT0 VBP TO JJ NNS IN PROTEINT0 PROTEINT1 RB VBZ IN PROTEINT0 CC PRP VBZ RBR RB IN PROTEINT2 CC PROTEINT0
AIMed_d103@6	NN NN VBZ IN PROTEINT0 CC PROTEINT0 VBP TO JJ NNS IN PROTEINT0 PROTEINT1 RB VBZ IN PROTEINT0 CC PRP VBZ RBR RB IN PROTEINT0 CC PROTEINT2
AIMed_d103@7	DT NN IN PROTEINT1 CC PROTEINT0 VBZ JJ NNS IN PROTEINT2
AIMed_d103@7	DT NN IN PROTEINT0 CC PROTEINT1 VBZ JJ NNS IN PROTEINT2
AIMed_d103@8	IN VBN IN DT JJ NN NNS PROTEINT1 VBZ RB IN PROTEINT2 RB JJ NNS IN PROTEINT0 CC PROTEINT0 CC PROTEINT0 VBD VBN
AIMed_d103@8	IN VBN IN DT JJ NN NNS PROTEINT0 VBZ RB IN PROTEINT0 RB JJ NNS IN PROTEINT1 CC PROTEINT2 CC PROTEINT0 VBD VBN
AIMed_d103@8	IN VBN IN DT JJ NN NNS PROTEINT0 VBZ RB IN PROTEINT0 RB JJ NNS IN PROTEINT1 CC PROTEINT0 CC PROTEINT2 VBD VBN
AIMed_d70@5	DT RB VBN JJ NN NN PROTEINT1 CD VBG DT JJ NN NN VBD JJ TO VB PROTEINT0 PROTEINT2
AIMed_d214@1	NN PROTEINT1 VBZ IN PROTEINT2 IN VBN NNS CC JJ NN NNS
AIMed_d214@2	DT JJ NN PROTEINT1 VBZ RB NN JJ VBG NN IN DT PROTEINT0 CC VBZ IN PROTEINT0 NN NN NN NN JJ NNS JJ IN PROTEINT2 PROTEINT0 CC PROTEINT0 WDT VBP IN NN NN NN NNS JJ IN DT NN NN
AIMed_d214@2	DT JJ NN PROTEINT1 VBZ RB NN JJ VBG NN IN DT PROTEINT0 CC VBZ IN PROTEINT0 NN NN NN NN JJ NNS JJ IN PROTEINT0 PROTEINT2 CC PROTEINT0 WDT VBP IN NN NN NN NNS JJ IN DT NN NN
AIMed_d214@2	DT JJ NN PROTEINT1 VBZ RB NN JJ VBG NN IN DT PROTEINT0 CC VBZ IN PROTEINT0 NN NN NN NN JJ NNS JJ IN PROTEINT0 PROTEINT0 CC PROTEINT2 WDT VBP IN NN NN NN NNS JJ IN DT NN NN
AIMed_d214@5	RB PRP VBP IN PROTEINT1 CC PROTEINT2 NN JJ JJ NNS IN PROTEINT0 VBN JJ NNS CC JJ NN NNS RB RB IN JJ NN NNS
AIMed_d214@6	PROTEINT1 PROTEINT2 NNS VBP RB JJ IN RB VBN NN NNS IN JJ NNS WDT VBP DT NN JJ JJ NN PROTEINT0 IN WDT PROTEINT0 VBZ VBN IN NN NNS
AIMed_d214@7	DT NN IN PROTEINT1 CC PROTEINT2 VBZ RB VBN IN DT NN NN IN PROTEINT0 CC VBZ JJ IN NN NN IN PROTEINT0
AIMed_d214@8	IN NN PRP VBP IN DT VBN NN NN NN JJ IN PROTEINT1 VBZ DT VBG NN IN DT PROTEINT2 NN NN FW FW
AIMed_d171@1	JJ NN IN DT PROTEINT1 NN NN VBD TO DT PROTEINT2 PROTEINT0 NN
AIMed_d171@1	JJ NN IN DT PROTEINT1 NN NN VBD TO DT PROTEINT0 PROTEINT2 NN
AIMed_d171@1	JJ NN IN DT PROTEINT0 NN NN VBD TO DT PROTEINT1 PROTEINT2 NN
AIMed_d171@2	DT JJ NN IN DT JJ PROTEINT1 JJ NN VBD TO DT VBN PROTEINT2 PROTEINT0 PROTEINT0 NN VBZ VBN VBN IN CD NN
AIMed_d171@2	DT JJ NN IN DT JJ PROTEINT1 JJ NN VBD TO DT VBN PROTEINT0 PROTEINT0 PROTEINT2 NN VBZ VBN VBN IN CD NN
AIMed_d171@2	DT JJ NN IN DT JJ PROTEINT0 JJ NN VBD TO DT VBN PROTEINT1 PROTEINT0 PROTEINT2 NN VBZ VBN VBN IN CD NN
AIMed_d171@3	PROTEINT1 VBZ DT NN IN DT VBN NN VBG IN CC PROTEINT2 CC PROTEINT0
AIMed_d171@3	PROTEINT1 VBZ DT NN IN DT VBN NN VBG IN CC PROTEINT0 CC PROTEINT2
AIMed_d176@1	NNS IN PROTEINT1 DT NN IN PROTEINT0 NN IN NN NN NNS PROTEINT2 CC PROTEINT0
AIMed_d176@1	NNS IN PROTEINT1 DT NN IN PROTEINT0 NN IN NN NN NNS PROTEINT0 CC PROTEINT2
AIMed_d176@6	IN PROTEINT1 VBZ RB VBN IN DT NN IN PROTEINT2 CC PROTEINT0 PRP VBP RBR VBN PRP$ NNS IN DT NNS
AIMed_d176@6	IN PROTEINT1 VBZ RB VBN IN DT NN IN PROTEINT0 CC PROTEINT2 PRP VBP RBR VBN PRP$ NNS IN DT NNS
AIMed_d176@7	PROTEINT1 MD VB CC PROTEINT2 CC PROTEINT0 RB CC IN DT JJ NN
AIMed_d176@7	PROTEINT1 MD VB CC PROTEINT0 CC PROTEINT2 RB CC IN DT JJ NN
AIMed_d176@8	IN PROTEINT0 CC PROTEINT0 VBP RB RB VB IN PRP$ JJ PRP VBZ IN PROTEINT0 VBZ DT JJ VBG NN IN DT PROTEINT1 PROTEINT2 PROTEINT0 NN
AIMed_d176@9	JJ NN IN PROTEINT1 VBZ IN DT NN NN VBZ VBN IN PROTEINT2 NN CC DT JJ NN VBG NN NN NNS VBZ JJ IN VBG PROTEINT0 CC PROTEINT0
AIMed_d176@9	JJ NN IN PROTEINT1 VBZ IN DT NN NN VBZ VBN IN PROTEINT0 NN CC DT JJ NN VBG NN NN NNS VBZ JJ IN VBG PROTEINT2 CC PROTEINT0
AIMed_d176@9	JJ NN IN PROTEINT1 VBZ IN DT NN NN VBZ VBN IN PROTEINT0 NN CC DT JJ NN VBG NN NN NNS VBZ JJ IN VBG PROTEINT0 CC PROTEINT2
AIMed_d176@10	DT PROTEINT1 PROTEINT2 PROTEINT0 NN NN VBZ RB JJ CC VBZ RB VB TO VB VBN IN DT PROTEINT0 VBG NN NN
AIMed_d176@11	DT NNS IN PROTEINT1 CC PROTEINT2 IN JJ PROTEINT0 NNS VBP VBN TO VB JJ IN PRP$ JJ NNS IN JJ PROTEINT0 NNS PROTEINT0 CC IN JJ PROTEINT0 NNS NN
